Date,Cases,Fatalities,Tests
3/4/2020,0,0,0
3/5/2020,0,0,0
3/6/2020,5,0,0
3/7/2020,5,0,0
3/8/2020,5,0,0
3/9/2020,15,0,0
3/10/2020,18,0,0
3/11/2020,22,0,0
3/12/2020,22,0,0
3/13/2020,22,0,0
3/14/2020,22,0,0
3/15/2020,56,1,0
3/16/2020,56,2,0
3/17/2020,63,4,0
3/18/2020,82,6,0
3/19/2020,108,6,0
3/20/2020,175,10,0
3/21/2020,235,12,0
3/22/2020,263,13,0
3/23/2020,287,15,0
3/24/2020,712,21,0
3/25/2020,975,27,0
3/26/2020,1394,38,0
3/27/2020,1731,47,0
3/28/2020,2048,59,0
3/29/2020,2552,70,0
3/30/2020,2874,89,0
3/31/2020,3266,101,0
4/1/2020,3996,122,0
4/2/2020,4665,143,0
4/3/2020,5324,163,0
4/4/2020,6112,184,0
4/5/2020,6793,222,0
4/6/2020,7273,247,0
4/7/2020,8261,263,0
4/8/2020,9353,288,0
4/9/2020,10230,321,0
4/10/2020,11671,350,0
4/11/2020,12561,384,0
4/12/2020,13484,418,0
4/13/2020,13906,449,0
4/14/2020,14624,481,0
4/15/2020,15492,517,0
4/16/2020,16455,549,0
4/17/2020,17371,587,0
4/18/2020,18260,616,0
4/19/2020,18923,644,0
4/20/2020,19458,669,0
4/21/2020,20196,709,205399
4/22/2020,21069,739,216783
4/23/2020,21944,775,225078
4/24/2020,22806,808,242547
4/25/2020,23773,845,262816
4/26/2020,24631,875,276021
4/27/2020,25297,900,290517
4/28/2020,26171,934,300384
4/29/2020,27054,957,314790
4/30/2020,28087,988,330300
5/1/2020,29229,1031,351775
5/2/2020,30522,1065,380648
5/3/2020,31548,1100,390560
5/4/2020,32332,1130,407398
5/5/2020,33369,1160,427210
5/6/2020,34422,1192,438938
5/7/2020,35390,1227,455162
5/8/2020,36609,1260,477118
5/9/2020,37860,1287,489294
5/10/2020,38869,1313,513978
5/11/2020,39869,1346,525697
5/12/2020,41048,1379,538172
5/13/2020,42403,1420,587431
5/14/2020,43851,1451,623284
5/15/2020,45198,1491,645992
5/16/2020,46999,1521,678471
5/17/2020,47784,1546,693276
5/18/2020,48693,1568,723013
5/19/2020,49912,1596,744937
5/20/2020,51323,1617,770241
5/21/2020,52268,1641,800433
5/22/2020,53449,1670,834437
5/23/2020,54509,1685,870935
5/24/2020,55348,1717,886354
5/25/2020,55971,1748,906074
5/26/2020,56560,1768,943239
5/27/2020,57921,1790,961861
5/28/2020,59776,1821,989994
5/29/2020,61006,1856,1027449
5/30/2020,62338,1888,1054793
5/31/2020,64287,1901,1073491
6/1/2020,64880,1921,1093676
6/2/2020,66568,1949,1117274
6/3/2020,68271,1980,1150868
6/4/2020,69920,2000,1174948
6/5/2020,71613,2024,1209187
6/6/2020,73553,2056,1218955
6/7/2020,74978,2074,1255899
6/8/2020,75616,2104,1286139
6/9/2020,77253,2137,1302049
6/10/2020,79757,2159,1348893
6/11/2020,81583,2187,1370131
6/12/2020,83680,2220,1404369
6/13/2020,86011,2257,1442950
6/14/2020,87854,2299,1463851
6/15/2020,89108,2328,1499015
6/16/2020,93206,2372,1522434
6/17/2020,96335,2409,1560537
6/18/2020,99851,2449,1576925
6/19/2020,103305,2493,1622851
6/20/2020,107735,2537,1690124
6/21/2020,111601,2572,1715177
6/22/2020,114881,2614,1767701
6/23/2020,120370,2654,1805642
6/24/2020,125921,2719,1836037
6/25/2020,131917,2777,1875197
6/26/2020,137624,2844,1903661
6/27/2020,143366,2921,1959617
6/28/2020,148723,3007,2006724
6/29/2020,153011,3092,2061939
6/30/2020,159986,3177,2119036
7/1/2020,168062,3268,2174548
7/2/2020,175977,3373,2212947
7/3/2020,183532,3498,2273591
7/4/2020,191790,3628,2338098
7/5/2020,195239,3740,2371709
7/6/2020,200557,3867,2431861
7/7/2020,210585,4008,2471029
7/8/2020,220564,4168,2526940
7/9/2020,230346,4321,2603903
7/10/2020,240111,4487,2644496
7/11/2020,250462,4652,2710290
7/12/2020,258658,4836,2757859
7/13/2020,264313,5010,2820803
7/14/2020,275058,5207,2864541
7/15/2020,282365,5391,2924288
7/16/2020,292656,5568,2992102
7/17/2020,307572,5724,3067620
7/18/2020,317730,5856,3153623
7/19/2020,325030,6004,3207857
7/20/2020,332434,6167,3269897
7/21/2020,341739,6302,3331844
7/22/2020,351618,6439,3396677
7/23/2020,361125,6557,3465070
7/24/2020,369826,6646,3539452
7/25/2020,375846,6700,3604509
7/26/2020,381656,6755,3664679
7/27/2020,385923,6795,3714821
7/28/2020,394265,6825,3777263
7/29/2020,403307,6835,3849040
7/30/2020,412107,6837,3911270
7/31/2020,420946,6837,3990030
8/1/2020,430485,,
